timestamp,dataset,model_noise_type,model_noise_level,test_noise_type,test_noise_level,noisy_mae,noisy_psnr,noisy_ssim,denosied_mae,denoised_psnr,denoised_ssim
09_03_2023_18_58_11,stdata12,gaussian,0.1,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.1334679126739502,21.097143173217773,0.31298205256462097
09_03_2023_18_58_33,stdata12,gaussian,0.1,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.12304408848285675,21.723812103271484,0.37162426114082336
09_03_2023_18_58_56,stdata12,gaussian,0.1,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.11617585271596909,22.1884765625,0.4105406701564789
09_03_2023_18_59_18,stdata12,gaussian,0.1,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.11025812476873398,22.613697052001953,0.44672608375549316
09_03_2023_18_59_41,stdata12,gaussian,0.1,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.10753138363361359,22.81551170349121,0.47146207094192505
09_03_2023_19_00_03,stdata12,gaussian,0.1,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.12257629632949829,21.714702606201172,0.40107789635658264
09_03_2023_19_00_24,stdata12,gaussian,0.1,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.1532115936279297,19.80877685546875,0.2683323323726654
09_03_2023_19_00_45,stdata12,gaussian,0.1,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.13974562287330627,20.526012420654297,0.4948543906211853
09_03_2023_19_01_08,stdata12,gaussian,0.1,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.13421587646007538,21.02657127380371,0.30912870168685913
09_03_2023_19_01_31,stdata12,gaussian,0.5,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.17946438491344452,18.598787307739258,0.14903423190116882
09_03_2023_19_01_51,stdata12,gaussian,0.5,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.17023931443691254,18.992483139038086,0.18571951985359192
09_03_2023_19_02_11,stdata12,gaussian,0.5,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.16532163321971893,19.213943481445312,0.21230654418468475
09_03_2023_19_02_32,stdata12,gaussian,0.5,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.16013161838054657,19.469707489013672,0.23829829692840576
09_03_2023_19_02_53,stdata12,gaussian,0.5,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.1504441350698471,19.986942291259766,0.27608010172843933
09_03_2023_19_03_13,stdata12,gaussian,0.5,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.1320933848619461,21.045413970947266,0.3469187319278717
09_03_2023_19_03_33,stdata12,gaussian,0.5,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.12472230941057205,21.441617965698242,0.38591018319129944
09_03_2023_19_03_55,stdata12,gaussian,0.5,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.2013748437166214,17.503198623657227,0.3096107840538025
09_03_2023_19_04_15,stdata12,gaussian,0.5,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.1772274523973465,18.692720413208008,0.1569080650806427
09_03_2023_19_04_35,stdata12,mixed,0.01,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.14290904998779297,20.79443359375,0.2840333878993988
09_03_2023_19_04_57,stdata12,mixed,0.01,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.13920897245407104,21.015010833740234,0.3095194697380066
09_03_2023_19_05_15,stdata12,mixed,0.01,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.13803617656230927,21.107585906982422,0.3230516016483307
09_03_2023_19_05_34,stdata12,mixed,0.01,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.138161763548851,21.13041114807129,0.3312041461467743
